City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
12,Bluff,NZ,46.99,scattered clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
14,Shache,CN,33.49,scattered clouds,38.42,77.24,Delong Hotel
15,Tuatapere,NZ,46.99,broken clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
17,Brownsville,US,46.4,clear sky,25.9,-97.5,Hotel Alameda Express
34,Springville,US,32.0,clear sky,40.17,-111.61,Best Western Mountain View Inn
47,Mataura,NZ,46.99,scattered clouds,-46.19,168.86,Ellie's Villa
51,Port Hardy,CA,44.6,light rain,50.7,-127.42,Airport Inn
53,Riviere-Au-Renard,CA,48.2,overcast clouds,49.0,-64.4,Auberge Le Caribou
55,Culiacancito,MX,52.0,clear sky,24.82,-107.53,PTAR Norte Culiacancito
59,Kaitangata,NZ,48.99,clear sky,-46.28,169.85,Kaitangata Motor Camp
60,Cerrito,CO,48.16,overcast clouds,6.84,-72.69,Yariseth juliana
64,Ushuaia,AR,50.0,broken clouds,-54.8,-68.3,Albatros Hotel
86,Aksu,CN,32.61,scattered clouds,41.12,80.26,Pudong Holiday Hotel
87,Sistranda,NO,35.6,broken clouds,63.73,8.83,Hotell Frøya
92,Katsuura,JP,48.2,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
93,Kirkwall,GB,42.8,overcast clouds,58.98,-2.96,Ayre Hotel
97,Lata,PT,33.01,clear sky,40.16,-8.33,Casa Maquia
103,Klaksvik,FO,41.0,light rain,62.23,-6.59,Airbnb rooms
106,Fez,MA,41.0,clear sky,34.04,-5.0,Hotel Mounia Fès
110,Aras,ES,39.2,broken clouds,42.56,-2.36,Jardines de Viana Spa
111,Brae,GB,44.6,light rain,60.4,-1.35,Busta House Hotel
120,Archidona,ES,54.0,clear sky,37.1,-4.39,Hotel Escua
126,Saint George,US,33.8,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
137,Sitka,US,42.8,light rain,57.05,-135.33,Westmark Sitka
140,Te Anau,NZ,43.74,broken clouds,-45.42,167.72,Kingsgate Hotel Te Anau
150,Carballo,ES,39.0,fog,43.21,-8.69,Pazo do Souto
159,Torbay,CA,35.6,clear sky,47.67,-52.73,Gallows Cove
169,Kaseda,JP,46.4,volcanic ash,31.42,130.32,Sun Stay Kaseda
170,Eureka,US,54.0,overcast clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
