City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Vila Franca Do Campo,PT,37.72,-25.43,57.2,76,20,20.8,few clouds
1,Jamestown,US,42.1,-79.24,16.0,85,90,17.2,light snow
2,Carnarvon,AU,-24.87,113.63,84.2,66,0,21.92,clear sky
3,Fairbanks,US,64.84,-147.72,-0.4,77,75,2.89,broken clouds
4,Rikitea,PF,-23.12,-134.97,77.61,79,100,15.17,light rain
5,Whitehorse,CA,60.72,-135.05,-4.0,83,75,5.82,broken clouds
6,Butaritari,KI,3.07,172.79,81.32,77,100,17.45,overcast clouds
7,Tiksi,RU,71.69,128.87,-17.57,88,87,6.49,overcast clouds
8,Nova Olimpia,BR,-14.8,-57.29,72.48,95,100,1.81,moderate rain
9,Puerto El Triunfo,SV,13.28,-88.55,73.4,53,0,14.99,clear sky
10,Kargasok,RU,59.06,80.86,-38.43,81,29,5.61,scattered clouds
11,Las Tunas,CU,20.96,-76.95,69.8,94,40,5.82,scattered clouds
12,Bluff,NZ,-46.6,168.33,46.99,80,32,1.99,scattered clouds
13,Lasa,IT,46.62,10.7,27.0,62,5,6.93,clear sky
14,Shache,CN,38.42,77.24,33.49,72,32,0.94,scattered clouds
15,Tuatapere,NZ,-46.13,167.68,46.99,80,75,1.99,broken clouds
16,Norman Wells,CA,65.28,-126.83,-2.2,84,5,5.82,clear sky
17,Brownsville,US,25.9,-97.5,46.4,75,1,5.28,clear sky
18,Hami,CN,42.8,93.45,26.46,71,87,6.11,overcast clouds
19,Busselton,AU,-33.65,115.33,73.99,55,0,5.99,clear sky
20,New Norfolk,AU,-42.78,147.06,70.0,42,30,4.0,scattered clouds
21,Itaituba,BR,-4.28,-55.98,72.39,97,100,0.63,overcast clouds
22,Chabahar,IR,25.29,60.64,78.8,29,100,20.8,sand
23,Geraldton,AU,-28.77,114.6,77.0,69,0,21.92,clear sky
24,Trinidad,BO,-14.83,-64.9,75.07,96,100,0.29,light rain
25,Kodiak,US,57.79,-152.41,24.8,100,1,4.7,clear sky
26,Ufimskiy,RU,56.71,58.05,11.55,95,100,8.3,overcast clouds
27,Puerto Ayora,EC,-0.74,-90.35,72.0,96,96,4.0,overcast clouds
28,Severo-Kurilsk,RU,50.68,156.12,24.71,87,75,17.38,broken clouds
29,Kananga,CD,-5.9,22.42,79.52,84,99,3.62,moderate rain
30,Kachug,RU,53.96,105.88,-15.34,82,5,4.07,clear sky
31,Nuuk,GL,64.18,-51.72,15.8,72,0,12.75,clear sky
32,Ondjiva,AO,-17.07,15.73,71.6,88,75,6.93,broken clouds
33,Lazaro Cardenas,MX,17.96,-102.2,72.03,86,1,3.78,clear sky
34,Springville,US,40.17,-111.61,32.0,85,1,4.7,clear sky
35,Upernavik,GL,72.79,-56.15,-8.59,89,28,10.76,scattered clouds
36,Saint-Philippe,RE,-21.36,55.77,86.0,66,75,9.17,light rain
37,Thompson,CA,55.74,-97.86,-14.8,83,5,4.7,clear sky
38,San Quintin,MX,30.48,-115.95,58.42,72,0,6.29,clear sky
39,Kralendijk,BQ,12.15,-68.27,77.0,88,0,5.82,clear sky
40,Mitsamiouli,KM,-11.38,43.28,84.47,74,0,11.01,light rain
41,Saldanha,ZA,-33.01,17.94,73.4,64,2,3.36,clear sky
42,Samarai,PG,-10.62,150.67,84.45,73,69,9.84,broken clouds
43,Arraial Do Cabo,BR,-22.97,-42.03,69.8,89,75,2.24,broken clouds
44,Yulara,AU,-25.24,130.99,96.8,9,0,9.17,clear sky
45,Bathsheba,BB,13.22,-59.52,77.0,83,20,12.75,few clouds
46,Tasiilaq,GL,65.61,-37.64,17.6,67,0,19.84,clear sky
47,Mataura,NZ,-46.19,168.86,46.99,80,42,1.99,scattered clouds
48,Rocha,UY,-34.48,-54.33,64.58,93,100,6.24,overcast clouds
49,Itarema,BR,-2.92,-39.92,77.07,78,87,13.94,overcast clouds
50,Lagoa,PT,39.05,-27.98,58.1,71,39,27.67,scattered clouds
51,Port Hardy,CA,50.7,-127.42,44.6,87,90,12.75,light rain
