City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Oranjemund,NA,2021-05-17 07:45:08,-28.55,16.4333,61.61,70,0,7.38
1,Magelang,ID,2021-05-17 07:45:08,-7.4706,110.2178,91.4,55,20,12.66
2,Puerto Ayora,EC,2021-05-17 07:45:09,-0.7393,-90.3518,75.99,95,45,5.01
3,Jamestown,US,2021-05-17 07:43:55,42.097,-79.2353,48.2,71,1,4.61
4,Sao Jose Da Coroa Grande,BR,2021-05-17 07:45:09,-8.8978,-35.1478,75.49,77,86,7.4
5,New Norfolk,AU,2021-05-17 07:45:10,-42.7826,147.0587,51.01,71,71,3.0
6,Port Macquarie,AU,2021-05-17 07:45:10,-31.4333,152.9167,55.99,78,0,10.67
7,Omboue,GA,2021-05-17 07:45:11,-1.5746,9.2618,77.79,88,100,1.81
8,Vereshchagino,RU,2021-05-17 07:41:22,58.0789,54.6557,78.08,40,2,11.41
9,Provideniya,RU,2021-05-17 07:45:12,64.3833,-173.3,30.2,86,90,6.71
10,Avarua,CK,2021-05-17 07:45:12,-21.2078,-159.775,77.0,78,75,10.36
11,Busselton,AU,2021-05-17 07:45:13,-33.65,115.3333,69.76,77,64,12.19
12,Marietta,US,2021-05-17 07:44:24,33.9526,-84.5499,59.0,77,1,3.27
13,Cloquet,US,2021-05-17 07:45:14,46.7216,-92.4594,55.0,87,1,5.75
14,Olinda,BR,2021-05-17 07:42:11,-8.0089,-34.8553,71.6,83,40,5.75
15,Saldanha,ZA,2021-05-17 07:45:14,-33.0117,17.9442,48.2,63,0,3.44
16,Taltal,CL,2021-05-17 07:40:20,-25.4,-70.4833,62.01,80,53,0.38
17,Pokhara,NP,2021-05-17 07:45:15,28.2333,83.9833,93.92,22,43,5.95
18,Castro,BR,2021-05-17 07:45:15,-24.7911,-50.0119,51.3,93,0,2.59
19,Hofn,IS,2021-05-17 07:45:16,64.2539,-15.2082,38.98,57,100,12.8
20,Maunatlala,BW,2021-05-17 07:45:16,-22.597,27.6301,73.4,40,0,5.75
21,Mataura,NZ,2021-05-17 07:45:17,-46.1927,168.8643,46.0,89,100,3.0
22,Barrow,US,2021-05-17 07:45:17,71.2906,-156.7887,26.6,86,90,11.5
23,Pudozh,RU,2021-05-17 07:45:17,61.8099,36.5345,64.99,67,13,5.73
24,Acapulco,MX,2021-05-17 07:45:18,16.8634,-99.8901,81.77,74,6,2.77
25,Lorengau,PG,2021-05-17 07:45:18,-2.0226,147.2712,81.48,80,86,7.63
26,Rikitea,PF,2021-05-17 07:45:19,-23.1203,-134.9692,74.7,61,76,6.51
27,Benjamin Hill,MX,2021-05-17 07:45:19,30.1667,-111.1,62.92,31,0,2.1
28,Kodiak,US,2021-05-17 07:45:20,57.79,-152.4072,42.8,75,90,3.44
29,Kozhva,RU,2021-05-17 07:45:20,65.1073,57.0459,44.92,81,100,8.08
30,Arraial Do Cabo,BR,2021-05-17 07:45:21,-22.9661,-42.0278,69.15,81,16,12.55
31,Geraldton,AU,2021-05-17 07:45:21,-28.7667,114.6,78.8,41,96,11.5
32,Makaha,US,2021-05-17 07:45:22,21.4694,-158.2175,73.4,73,90,8.05
33,Nemuro,JP,2021-05-17 07:45:22,43.3236,145.575,53.6,82,75,9.22
34,Mar Del Plata,AR,2021-05-17 07:45:23,-38.0023,-57.5575,50.0,93,20,4.61
35,Richards Bay,ZA,2021-05-17 07:44:34,-28.783,32.0377,69.82,71,76,7.94
36,Suez,EG,2021-05-17 07:45:23,29.9737,32.5263,79.14,42,46,9.37
37,Kieta,PG,2021-05-17 07:45:24,-6.2167,155.6333,80.55,84,84,6.98
38,Zhigansk,RU,2021-05-17 07:45:24,66.7697,123.3711,48.9,67,85,17.2
39,Zhangye,CN,2021-05-17 07:45:25,38.9342,100.4517,72.9,13,99,6.4
40,Lasa,IT,2021-05-17 07:45:25,46.6166,10.7002,57.2,100,40,5.75
41,Salalah,OM,2021-05-17 07:45:25,17.0151,54.0924,91.4,62,0,4.61
42,Brenham,US,2021-05-17 07:45:26,30.1669,-96.3977,71.6,94,90,3.44
43,Yellowknife,CA,2021-05-17 07:45:26,62.456,-114.3525,33.8,64,90,11.5
44,Montoro,ES,2021-05-17 07:42:06,38.0241,-4.3834,72.0,64,0,2.3
